12,Howard Bancorp,"HOWARD BANCORP, INC.",HAZARD BANCORP,ORCHARD BANCORP.,PATHWAY BANCORP,HORIZON BANCORP
18,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.","SV FINANCIAL, INC."
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,BNH FINANCIAL,EMCLAIRE FINANCIAL CORP,"C1 FINANCIAL, INC.","CBOA FINANCIAL, INC."
6,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP
13,Western Alliance Bancorp,ALLIANCE BANCORP,WESTERN ALLIANCE BANCORPORATION,"WESTERN ARIZONA BANCORP, INC.",ALL WEST BANCORP,SAN BANCORP.
19,Camden National,CAMDEN NATIONAL CORPORATION,"NATIONAL BANCORP, INC.","EAGLE NATIONAL BANCORP, INC.","GILMER NATIONAL BANCSHARES, INC.",COLORADO NATIONAL BANCORP
1,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS INVESTMENT, INC."
7,Sunshine Bancorp,SIDNEY BANCORP,SUSSEX BANCORP,SAN BANCORP.,UFS BANCORP,U.S. BANCORP
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","TXRB HOLDINGS, INC.","OVATION HOLDINGS, INC.","STEELE HOLDINGS, INC.","VALIDUS HOLDINGS, LLLP"
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.","DENMARK BANCSHARES, INC.",DELMAR BANCORP,"DELAWARE BANCSHARES, INC.","ODEM BANCSHARES, INC."
2,Plaza Bank,BNP PARIBAS,PLUMAS BANCORP,PALM BANCORP,PATHWAY BANCORP,"PLAZA AGENCY, INC."
8,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.","HONOR BANCORP, INC.","HOWARD BANCORP, INC.",BRIGHTON BANCORP
15,Carolina Alliance Bank,"ALLIANCE BANCSHARES, INC.",ALLIANCE BANCORP,"ALLEGIANCE BANCSHARES, INC.","FIRST ALLIANCE BANCSHARES, INC.","INDEPENDENT ALLIANCE BANKS, INC."
21,First Finl Bankshares,"FIRST FINANCIAL BANKSHARES, INC.","FIRST BANKSHARES, INC.","FIRST FINANCIAL BANCSHARES, INC.","FIRST FAIRLAND BANCSHARES, INC.","FIRST CENTURY BANKSHARES, INC."
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,"CAMP GROVE BANCORP, INC.","COASTWAY BANCORP, INC",OFG BANCORP,CU BANCORP
9,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.","SV FINANCIAL, INC."
16,Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.","BANK OF NOVA SCOTIA, THE",STATE BANK CORP.
22,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.","SV FINANCIAL, INC."
4,Unitedmmunity Banks,COMMUNITY BANK CORP.,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"BANKUNITED, INC."
10,PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,PATHWAY BANCORP,ALL WEST BANCORP,PBB BANCORP
