source,target,Type,Id,Label,timeset,weight
Chicago O'hare Intl,San Francisco Intl,Directed,0,,,0.1804
Chicago O'hare Intl,Phoenix Sky Harbor Intl,Directed,1,,,0.1474
Chicago O'hare Intl,Lambert-St Louis Intl,Directed,2,,,0.0332
Chicago O'hare Intl,Pittsburgh Intll,Directed,3,,,0.0416
Chicago O'hare Intl,Philadelphia Intl,Directed,4,,,0.0676
Seattle-Tacoma Intl,Chicago O'hare Intl,Directed,5,,,0.1828
Chicago O'hare Intl,Salt Lake City Intl,Directed,6,,,0.1231
Chicago O'hare Intl,San Diego Intl-Lindbergh Fld,Directed,7,,,0.1733
Chicago O'hare Intl,Tampa Intl,Directed,8,,,0.1366
Chicago O'hare Intl,Raleigh-Durham Intll,Directed,9,,,0.0745
Chicago O'hare Intl,Luis Munoz Marin Intl,Directed,10,,,0.251
Chicago O'hare Intl,San Jose Intll,Directed,11,,,0.1788
Portland Intl,Chicago O'hare Intl,Directed,12,,,0.18
Chicago O'hare Intl,Palm Beach Intl,Directed,13,,,0.1514
Chicago O'hare Intl,San Antonio Intl,Directed,14,,,0.1305
Chicago O'hare Intl,John Wayne Airport-Orange Coun,Directed,15,,,0.172
Chicago O'hare Intl,Sacramento Metropolitan,Directed,16,,,0.1744
Chicago O'hare Intl,Southwest Florida Intl,Directed,17,,,0.1508
Chicago O'hare Intl,Reno/Tahoe Intll,Directed,18,,,0.164
Chicago O'hare Intl,Tulsa Intl,Directed,19,,,0.0686
Chicago O'hare Intl,Norfolk Intl,Directed,20,,,0.0769
Chicago O'hare Intl,Tucson Intl,Directed,21,,,0.1504
Syracuse Hancock Intl,Chicago O'hare Intl,Directed,22,,,0.0611
Bangor Intl,Chicago O'hare Intl,Directed,23,,,0.1008
Greater Rochester Intl,Chicago O'hare Intl,Directed,24,,,0.0532
Chicago O'hare Intl,Theodore Francis Green State,Directed,25,,,0.0839
Chicago O'hare Intl,Louisville Intl,Directed,26,,,0.0379
Chicago O'hare Intl,Sarasota/Bradenton Intl,Directed,27,,,0.1419
Chicago O'hare Intl,Richmond Intll,Directed,28,,,0.0688
Chicago O'hare Intl,Mc Ghee Tyson,Directed,29,,,0.0622
Portland Intl Jetport,Chicago O'hare Intl,Directed,30,,,0.091
Chicago O'hare Intl,Savannah Intll,Directed,31,,,0.1001
Chicago O'hare Intl,Palm Springs Regional,Directed,32,,,0.1652
Chicago O'hare Intl,Michiana Rgnl Transportation C,Directed,33,,,0.0085
Chicago O'hare Intl,Roanoke Regional/Woodrum Field,Directed,34,,,0.06
Chicago O'hare Intl,Toledo Express,Directed,35,,,0.0212
Chicago O'hare Intl,Yeager,Directed,36,,,0.0471
Chicago O'hare Intl,Greater Peoria Regional,Directed,37,,,0.0155
Chicago O'hare Intl,Stewart Int'l,Directed,38,,,0.0704
Rapid City Regional,Chicago O'hare Intl,Directed,39,,,0.0797
Rochester Intll,Chicago O'hare Intl,Directed,40,,,0.0298
Chicago O'hare Intl,Capital,Directed,41,,,0.0223
Cherry Capital,Chicago O'hare Intl,Directed,42,,,0.0289
Greater Rockford,Chicago O'hare Intl,Directed,43,,,0.0065
Wittman Regional,Chicago O'hare Intl,Directed,44,,,0.0195
Chicago O'hare Intl,Dallas/Fort Worth Intl,Directed,45,,,0.0985
Los Angeles Intl,Dallas/Fort Worth Intl,Directed,46,,,0.1093
San Francisco Intl,Dallas/Fort Worth Intl,Directed,47,,,0.1367
John F Kennedy Intl,Dallas/Fort Worth Intl,Directed,48,,,0.1396
Dallas/Fort Worth Intl,Miami Intl,Directed,49,,,0.109
La Guardia,Dallas/Fort Worth Intl,Directed,50,,,0.14
Newark Intl,Dallas/Fort Worth Intl,Directed,51,,,0.1383
Phoenix Sky Harbor Intl,Dallas/Fort Worth Intl,Directed,52,,,0.0765
Detroit Metropolitan Wayne Cou,Dallas/Fort Worth Intl,Directed,53,,,0.1131
Dallas/Fort Worth Intl,Honolulu Intl,Directed,54,,,0.3292
Lambert-St Louis Intl,Dallas/Fort Worth Intl,Directed,55,,,0.0655
Minneapolis-St Paul Intl/Wold-,Dallas/Fort Worth Intl,Directed,56,,,0.1162
Mc Carran Intl,Dallas/Fort Worth Intl,Directed,57,,,0.0972
Dallas/Fort Worth Intl,Orlando Intl,Directed,58,,,0.0907
Pittsburgh Intll,Dallas/Fort Worth Intl,Directed,59,,,0.1122
Dallas/Fort Worth Intl,Houston Intercontinental,Directed,60,,,0.0291
Philadelphia Intl,Dallas/Fort Worth Intl,Directed,61,,,0.1295
Seattle-Tacoma Intl,Dallas/Fort Worth Intl,Directed,62,,,0.1894
Salt Lake City Intl,Dallas/Fort Worth Intl,Directed,63,,,0.1071
Dallas/Fort Worth Intl,San Diego Intl-Lindbergh Fld,Directed,64,,,0.1026
Dallas/Fort Worth Intl,Tampa Intl,Directed,65,,,0.0876
Washington Dulles Intl,Dallas/Fort Worth Intl,Directed,66,,,0.1152
Raleigh-Durham Intll,Dallas/Fort Worth Intl,Directed,67,,,0.0972
Dallas/Fort Worth Intl,Fort Lauderdale/Hollywood Intl,Directed,68,,,0.1079
Memphis Intl,Dallas/Fort Worth Intl,Directed,69,,,0.0414
Dallas/Fort Worth Intl,Luis Munoz Marin Intl,Directed,70,,,0.2098
Dallas/Fort Worth Intl,William P Hobby,Directed,71,,,0.0323
Chicago Midway,Dallas/Fort Worth Intl,Directed,72,,,0.0973
Kansas City Intl,Dallas/Fort Worth Intl,Directed,73,,,0.0623
Dallas/Fort Worth Intl,New Orleans Intl/Moisant Fld/,Directed,74,,,0.0442
San Jose Intll,Dallas/Fort Worth Intl,Directed,75,,,0.1338
Portland Intl,Dallas/Fort Worth Intl,Directed,76,,,0.1779
Indianapolis Intl,Dallas/Fort Worth Intl,Directed,77,,,0.0851
Dallas/Fort Worth Intl,Palm Beach Intl,Directed,78,,,0.1047
Metropolitan Oakland Intl,Dallas/Fort Worth Intl,Directed,79,,,0.1363
Dallas/Fort Worth Intl,San Antonio Intl,Directed,80,,,0.0329
Ontario Intl,Dallas/Fort Worth Intl,Directed,81,,,0.1053
John Wayne Airport-Orange Coun,Dallas/Fort Worth Intl,Directed,82,,,0.1064
General Mitchell Intll,Dallas/Fort Worth Intl,Directed,83,,,0.1068
Sacramento Metropolitan,Dallas/Fort Worth Intl,Directed,84,,,0.1369
Dallas/Fort Worth Intl,Southwest Florida Intl,Directed,85,,,0.0987
Dallas/Fort Worth Intl,El Paso Intl,Directed,86,,,0.0487
Will Rogers World,Dallas/Fort Worth Intl,Directed,87,,,0.0241
Reno/Tahoe Intll,Dallas/Fort Worth Intl,Directed,88,,,0.1319
Tulsa Intl,Dallas/Fort Worth Intl,Directed,89,,,0.0321
Dallas/Fort Worth Intl,Jacksonville Intl,Directed,90,,,0.0815
Norfolk Intl,Dallas/Fort Worth Intl,Directed,91,,,0.1128
Dallas/Fort Worth Intl,Tucson Intl,Directed,92,,,0.0712
Louisville Intl,Dallas/Fort Worth Intl,Directed,93,,,0.0765
Eppley Airfield,Dallas/Fort Worth Intl,Directed,94,,,0.0806
Adams Field,Dallas/Fort Worth Intl,Directed,95,,,0.0302
Richmond Intll,Dallas/Fort Worth Intl,Directed,96,,,0.1097
Piedmont Triad Intll,Dallas/Fort Worth Intl,Directed,97,,,0.0923
Des Moines Intl,Dallas/Fort Worth Intl,Directed,98,,,0.0844
Long Beach /Daugherty Field/,Dallas/Fort Worth Intl,Directed,99,,,0.1079
Lubbock Intl,Dallas/Fort Worth Intl,Directed,100,,,0.0255
Dallas/Fort Worth Intl,Midland Intll,Directed,101,,,0.0278
Wichita Mid-Continent,Dallas/Fort Worth Intl,Directed,102,,,0.0455
Mc Ghee Tyson,Dallas/Fort Worth Intl,Directed,103,,,0.072
Dallas/Fort Worth Intl,Rio Grande Valley Intl,Directed,104,,,0.0638
Dallas/Fort Worth Intl,Savannah Intll,Directed,105,,,0.0809
Huntsville Intl-Carl T Jones F,Dallas/Fort Worth Intl,Directed,106,,,0.0549
Fresno Air Terminal,Dallas/Fort Worth Intl,Directed,107,,,0.1213
Palm Springs Regional,Dallas/Fort Worth Intl,Directed,108,,,0.0996
Dallas/Fort Worth Intl,Pensacola Regional,Directed,109,,,0.0553
Dallas/Fort Worth Intl,Jackson Intll,Directed,110,,,0.0358
Dallas/Fort Worth Intl,Mobile Regional,Directed,111,,,0.0495
Dallas/Fort Worth Intl,Shreveport Regional,Directed,112,,,0.0169
Santa Barbara Muni,Dallas/Fort Worth Intl,Directed,113,,,0.117
Dallas/Fort Worth Intl,Mc Allen Miller Intl,Directed,114,,,0.0645
Springfield Regional,Dallas/Fort Worth Intl,Directed,115,,,0.0456
Jackson Hole,Dallas/Fort Worth Intl,Directed,116,,,0.1239
Drake Field,Dallas/Fort Worth Intl,Directed,117,,,0.0331
Dallas/Fort Worth Intl,Lafayette Regional,Directed,118,,,0.0363
Dallas/Fort Worth Intl,Monroe Regional,Directed,119,,,0.0257
Fort Smith Regional,Dallas/Fort Worth Intl,Directed,120,,,0.0271
Dallas/Fort Worth Intl,Tyler Pounds Field,Directed,121,,,0.0097
Elko Muni-J.C. Harris Field,Dallas/Fort Worth Intl,Directed,122,,,0.1219
Lawton Muni,Dallas/Fort Worth Intl,Directed,123,,,0.0175
Dallas/Fort Worth Intl,Alexandria Esler Regional,Directed,124,,,0.028
Dallas/Fort Worth Intl,Mathis Field,Directed,125,,,0.0229
Dallas/Fort Worth Intl,Lake Charles Regional,Directed,126,,,0.0328
Sheppard Afb/Wichita Falls Mun,Dallas/Fort Worth Intl,Directed,127,,,0.0128
Dallas/Fort Worth Intl,Laredo Intl,Directed,128,,,0.0526
Gunnison County,Dallas/Fort Worth Intl,Directed,129,,,0.0738
Dallas/Fort Worth Intl,Killeen Muni,Directed,130,,,0.0176
Yampa Valley,Dallas/Fort Worth Intl,Directed,131,,,0.0892
Texarkana Regional-Webb Field,Dallas/Fort Worth Intl,Directed,132,,,0.0164
Dallas/Fort Worth Intl,Gregg County,Directed,133,,,0.0127
Eagle County Regional,Dallas/Fort Worth Intl,Directed,134,,,0.0818
Chicago O'hare Intl,The William B Hartsfield Atlan,Directed,135,,,0.0815
The William B Hartsfield Atlan,Dallas/Fort Worth Intl,Directed,136,,,0.0646
Los Angeles Intl,The William B Hartsfield Atlan,Directed,137,,,0.173
San Francisco Intl,The William B Hartsfield Atlan,Directed,138,,,0.1969
John F Kennedy Intl,The William B Hartsfield Atlan,Directed,139,,,0.086
Stapleton Intl,The William B Hartsfield Atlan,Directed,140,,,0.1195
The William B Hartsfield Atlan,Miami Intl,Directed,141,,,0.0779
La Guardia,The William B Hartsfield Atlan,Directed,142,,,0.0868
General Edward Lawrence Logan,The William B Hartsfield Atlan,Directed,143,,,0.1078
Newark Intl,The William B Hartsfield Atlan,Directed,144,,,0.0852
The William B Hartsfield Atlan,Phoenix Sky Harbor Intl,Directed,145,,,0.1405
Detroit Metropolitan Wayne Cou,The William B Hartsfield Atlan,Directed,146,,,0.0821
The William B Hartsfield Atlan,Honolulu Intl,Directed,147,,,0.3924
Lambert-St Louis Intl,The William B Hartsfield Atlan,Directed,148,,,0.0574
Minneapolis-St Paul Intl/Wold-,The William B Hartsfield Atlan,Directed,149,,,0.1163
Mc Carran Intl,The William B Hartsfield Atlan,Directed,150,,,0.1582
The William B Hartsfield Atlan,Orlando Intl,Directed,151,,,0.0523
Pittsburgh Intll,The William B Hartsfield Atlan,Directed,152,,,0.0688
The William B Hartsfield Atlan,Houston Intercontinental,Directed,153,,,0.0657
Philadelphia Intl,The William B Hartsfield Atlan,Directed,154,,,0.0757
Seattle-Tacoma Intl,The William B Hartsfield Atlan,Directed,155,,,0.2336
Charlotte/Douglas Intl,The William B Hartsfield Atlan,Directed,156,,,0.0232
Washington National,The William B Hartsfield Atlan,Directed,157,,,0.0624
