,0 1
0,2 3
1,2 4
2,5 6
3,5 7
4,8 9
5,10 11
6,12 13
7,12 14
8,15 16
9,17 18
10,12 19
11,20 21
12,20 22
13,23 24
14,23 25
15,23 26
16,23 27
17,23 28
18,23 29
19,23 30
20,23 31
21,23 32
22,23 33
23,23 34
24,23 35
25,23 36
26,23 37
27,23 38
28,23 39
29,23 40
30,41 42
31,43 44
32,45 46
33,47 48
34,49 50
35,41 51
36,52 53
37,54 55
38,54 56
39,54 57
40,54 58
41,54 59
42,60 61
43,54 54
44,62 63
45,64 65
46,62 4
47,66 67
48,68 69
49,42 41
50,70 71
51,72 21
52,71 70
53,73 74
54,75 76
55,75 48
56,77 78
57,77 79
58,80 81
59,80 68
60,19 62
61,82 83
62,22 21
63,82 84
64,21 72
65,41 85
66,41 86
67,41 87
68,82 86
69,88 89
70,90 91
71,92 20
72,41 93
73,41 94
74,41 95
75,89 96
76,89 88
77,97 98
78,97 99
79,97 100
80,97 101
81,97 102
82,103 104
83,51 41
84,82 105
85,90 106
86,62 107
87,108 109
88,108 66
89,108 110
90,108 111
91,108 112
92,113 114
93,115 116
94,117 118
95,76 119
96,17 120
97,82 121
98,122 123
99,14 12
100,124 125
101,13 126
102,127 128
103,127 129
104,127 130
105,131 132
106,40 26
107,40 29
108,18 133
109,56 55
110,56 54
111,56 59
112,134 6
113,115 62
114,135 136
115,137 138
116,137 137
117,22 20
118,139 140
119,141 142
120,143 143
121,143 51
122,143 133
123,144 145
124,146 147
125,83 82
126,148 149
127,150 103
128,150 150
129,49 84
130,151 28
131,152 153
132,153 152
133,154 155
134,156 157
135,139 15
136,158 159
137,4 2
138,4 3
139,133 18
140,160 161
141,84 162
142,84 50
143,84 49
144,84 71
145,72 163
146,164 139
147,165 166
148,167 168
149,123 122
150,169 115
151,169 170
152,40 171
153,123 103
154,123 172
155,123 61
156,123 123
157,24 96
158,81 80
159,173 21
160,174 175
161,176 177
162,176 178
163,122 179
164,21 22
165,180 130
166,181 182
167,129 183
168,184 184
169,181 179
170,185 52
171,70 186
172,106 187
173,137 175
174,137 174
175,188 189
176,108 190
177,191 157
178,191 191
179,192 193
180,192 194
181,192 195
182,192 2
183,192 192
184,41 196
185,41 197
186,41 198
187,41 199
188,41 200
189,41 167
190,41 201
191,41 202
192,41 203
193,41 204
194,41 205
195,41 206
196,41 207
197,208 208
198,61 123
199,209 210
200,41 128
201,211 54
202,115 212
203,106 189
204,137 208
205,212 115
206,56 58
207,30 25
208,30 36
209,30 41
210,155 213
211,48 47
212,214 180
213,96 24
214,4 4
215,4 62
216,155 215
217,216 15
218,170 170
219,71 217
220,71 50
221,71 49
222,13 13
223,98 97
224,74 1
225,74 218
226,74 219
227,74 215
228,74 220
229,74 221
230,74 222
231,74 223
232,74 18
233,74 224
234,74 225
235,74 226
236,74 227
237,74 17
238,74 228
239,229 64
240,100 97
241,230 21
242,230 20
243,231 232
244,233 209
245,233 234
246,233 235
247,233 236
248,233 159
249,233 237
250,233 210
251,233 238
252,233 239
253,233 240
254,233 241
255,233 242
256,233 243
257,233 244
258,245 115
259,246 247
260,248 74
261,13 238
262,106 62
263,106 249
264,13 27
265,13 209
266,103 250
267,40 251
268,175 252
269,169 251
270,115 169
271,232 231
272,75 253
273,75 40
274,175 174
275,254 137
276,249 212
277,249 255
278,249 256
279,222 74
280,183 257
281,17 218
282,183 198
283,183 258
284,183 183
285,19 12
286,259 72
287,259 260
288,75 261
289,115 170
290,251 169
291,262 262
292,263 263
293,264 265
294,264 266
295,264 267
296,106 268
297,269 45
298,129 270
299,271 272
300,81 256
301,46 139
302,46 15
303,46 273
304,46 272
305,46 274
306,46 164
307,46 216
308,46 45
309,275 276
310,277 277
311,155 114
312,158 62
313,129 278
314,101 101
315,29 40
316,279 107
317,155 208
318,231 280
319,281 281
320,282 283
321,155 284
322,46 46
323,160 28
324,160 23
325,285 286
326,285 211
327,258 183
328,69 287
329,280 231
330,212 249
331,162 288
332,162 71
333,162 84
334,280 289
335,280 270
336,280 196
337,280 168
338,280 167
339,280 290
340,280 203
341,280 14
342,280 291
343,280 284
344,280 129
345,280 130
346,280 292
347,293 19
348,254 226
349,129 294
350,189 106
351,295 296
352,165 115
353,287 69
354,287 80
355,74 248
356,74 297
357,74 73
358,298 299
359,281 137
360,147 62
361,147 249
362,62 300
363,301 248
364,302 303
365,303 302
366,304 303
367,252 233
368,252 166
369,252 121
370,252 145
371,252 115
372,136 115
373,92 22
374,303 304
375,268 106
376,252 212
377,252 288
378,252 58
379,252 175
380,252 305
381,252 48
382,12 293
383,306 62
384,281 2
385,236 209
386,236 238
387,236 235
388,236 243
389,236 244
390,102 97
391,175 15
392,6 5
393,17 307
394,17 308
395,17 1
396,17 177
397,17 74
398,17 309
399,17 215
400,17 248
401,17 220
402,17 310
403,17 85
404,17 311
405,17 221
406,17 312
407,17 222
408,17 313
409,17 223
410,17 0
411,17 224
412,17 314
413,17 225
414,17 315
415,17 226
416,17 73
417,17 316
418,17 317
419,17 228
420,245 318
421,35 62
422,236 319
423,167 167
424,167 201
425,167 133
426,167 18
427,320 321
428,254 62
429,322 45
430,220 177
431,215 295
432,321 320
433,102 323
434,102 300
435,147 212
436,147 42
437,147 105
438,11 324
439,21 173
440,21 325
441,21 10
442,21 20
443,21 306
444,21 326
445,21 327
446,21 230
447,328 329
448,64 229
449,215 5
450,209 236
451,18 62
452,73 330
453,73 248
454,73 331
455,73 297
456,73 17
457,290 290
458,141 332
459,69 306
460,139 46
461,333 114
462,334 335
463,336 337
464,336 116
465,336 165
466,336 115
467,336 136
468,336 338
469,336 169
470,336 251
471,336 135
472,336 339
473,340 134
474,251 336
475,58 57
476,341 74
477,341 309
478,341 215
479,341 311
480,341 222
481,341 316
482,191 342
483,191 277
484,191 149
485,191 262
486,191 343
487,191 344
488,191 345
489,191 346
490,191 214
491,191 347
492,191 348
493,191 349
494,191 350
495,191 284
496,191 351
497,191 231
498,191 278
499,191 130
500,191 178
501,191 122
502,191 179
503,191 352
504,191 207
505,353 354
506,353 185
507,90 13
508,114 155
509,288 233
510,142 355
511,356 357
512,114 113
513,47 339
514,194 194
515,194 195
516,63 137
517,43 358
518,63 63
519,359 360
520,86 128
521,64 5
522,160 187
523,114 361
524,232 103
525,244 236
526,160 190
527,69 212
528,335 334
529,114 129
530,243 271
531,184 190
532,212 69
533,62 18
534,44 362
535,44 293
536,271 243
537,310 62
538,252 105
539,88 303
540,153 62
541,363 283
542,363 161
543,363 280
544,363 256
545,363 211
546,363 364
547,363 106
548,363 236
549,363 365
550,363 249
551,114 263
552,114 318
553,145 87
554,145 252
555,263 114
556,39 28
557,105 252
558,153 366
559,165 28
560,165 114
561,165 169
562,165 367
563,37 37
564,52 185
565,187 329
566,187 106
567,220 223
568,52 52
569,52 368
570,252 304
571,252 96
572,252 89
573,252 88
574,252 302
575,252 369
576,116 169
577,362 44
578,362 293
579,184 298
580,169 116
581,178 176
582,265 264
583,236 363
584,195 194
585,40 370
586,238 236
587,170 136
588,353 371
589,86 205
590,86 41
591,190 184
592,372 373
593,288 162
594,160 113
595,54 211
596,180 343
597,55 58
598,160 263
599,62 153
600,374 44
601,58 208
602,62 340
603,14 290
604,170 115
605,5 215
606,80 375
607,376 377
608,22 92
609,94 201
610,58 162
611,55 54
612,295 378
613,295 379
614,295 103
615,295 380
616,295 381
617,295 382
618,295 376
619,295 181
620,295 383
621,295 384
622,295 283
623,295 157
624,295 385
625,295 386
626,295 387
627,295 388
628,295 389
629,295 390
630,295 61
631,295 391
632,295 392
633,295 393
634,295 394
635,295 250
636,295 395
637,295 396
638,295 397
639,295 398
640,295 377
641,295 368
642,295 104
643,295 321
644,295 60
645,295 150
646,295 320
647,295 295
648,40 35
649,37 30
650,133 307
651,133 399
652,133 167
653,133 400
654,133 133
655,133 401
656,133 232
657,133 291
658,133 284
659,133 206
660,133 402
661,133 52
662,133 179
663,133 403
664,68 21
665,404 166
666,113 160
667,405 106
668,306 69
669,113 47
670,43 406
671,43 407
672,103 378
673,103 377
674,103 321
675,157 395
676,213 155
677,263 160
678,4 63
679,4 286
680,183 282
681,286 4
682,213 61
683,213 320
684,61 380
685,2 195
686,114 256
687,114 365
688,2 305
689,286 174
690,183 303
691,377 376
692,408 408
693,377 103
694,164 216
695,409 409
696,305 2
697,305 63
698,2 2
699,410 329
700,355 256
701,355 365
702,135 135
703,132 411
704,132 132
705,114 340
706,412 4
707,412 2
708,183 129
709,201 94
710,63 3
711,63 62
712,57 137
713,2 412
714,157 191
715,135 336
716,172 413
717,172 123
718,193 193
719,3 63
720,377 61
721,296 296
722,63 174
723,96 96
724,149 148
725,414 415
726,306 306
727,61 377
728,195 2
729,258 329
730,267 19
731,5 5
732,327 21
733,327 416
734,327 173
735,48 50
736,48 75
737,263 417
738,50 87
739,50 49
740,50 71
741,50 84
742,418 62
743,418 184
744,418 299
745,216 164
746,9 19
747,214 345
748,214 351
749,419 290
750,29 420
751,9 421
752,366 366
753,417 263
754,87 422
755,87 154
756,87 41
757,87 145
758,87 50
759,254 186
760,422 87
761,115 136
762,249 105
763,423 417
764,16 424
765,284 155
766,13 301
767,38 25
768,38 26
769,38 40
770,425 426
771,115 427
772,417 423
773,118 117
774,86 189
775,329 187
776,174 63
777,21 68
778,329 410
779,231 172
780,154 87
781,428 429
782,184 299
783,430 249
784,282 212
785,282 121
786,282 83
787,282 424
788,71 162
789,71 431
790,71 432
791,71 433
792,71 83
793,71 84
794,13 36
795,270 129
796,434 215
797,132 285
798,179 157
799,115 338
800,435 435
801,435 147
802,39 23
803,424 15
804,424 45
805,115 337
806,115 436
807,115 123
808,115 437
809,115 165
810,115 336
811,115 438
812,115 251
813,115 439
814,115 135
815,115 339
816,138 137
817,105 249
818,440 413
819,440 275
820,440 178
821,394 104
822,414 414
823,29 23
824,441 360
825,20 86
826,85 17
827,30 23
828,85 41
829,417 442
830,23 115
831,417 443
832,417 444
833,212 282
834,212 145
835,137 57
836,27 23
837,438 35
838,434 23
839,255 249
840,139 129
841,139 445
842,417 113
843,417 114
844,140 139
845,140 446
846,140 447
847,140 448
848,438 169
849,139 342
850,35 438
851,321 104
852,414 449
853,115 23
854,55 56
855,55 57
856,324 11
857,23 434
858,57 55
859,450 434
860,29 438
861,338 116
862,250 150
863,160 405
864,363 154
865,74 177
866,74 74
867,19 267
868,288 217
869,288 84
870,438 29
871,451 452
872,284 160
873,437 135
874,178 177
875,135 437
876,116 338
877,86 453
878,454 357
879,169 438
880,210 210
881,405 160
882,169 338
883,248 142
884,73 73
885,437 455
886,456 456
887,84 82
888,84 121
889,65 457
890,73 215
891,21 212
892,212 21
893,458 129
894,164 46
895,177 176
896,177 178
897,139 164
898,62 283
899,152 147
900,21 74
901,107 113
902,107 417
903,107 114
904,147 152
905,333 62
906,223 459
907,406 11
908,40 48
909,238 244
910,253 75
911,260 74
912,417 62
913,113 417
914,106 405
915,62 333
916,139 429
917,434 450
918,434 460
919,434 365
920,68 80
921,275 172
922,461 45
923,116 336
924,283 308
925,462 463
926,216 216
927,207 41
928,448 140
929,448 272
930,448 46
931,448 45
932,244 238
933,62 441
934,338 123
935,268 459
936,464 280
937,465 155
938,422 404
939,466 421
940,142 187
941,160 18
942,61 295
943,467 152
944,58 305
945,26 38
946,26 40
947,351 180
948,148 468
949,265 19
950,314 17
951,160 284
952,455 375
953,91 469
954,283 282
955,170 470
956,102 2
957,393 378
958,393 379
959,393 103
960,393 381
961,393 376
962,393 181
963,393 385
964,393 388
965,393 390
966,393 61
967,393 392
968,393 393
969,393 394
970,393 296
971,393 250
972,393 395
973,393 397
974,393 377
975,393 368
976,393 104
977,393 321
978,393 60
979,393 150
980,393 320
981,393 295
982,232 52
983,375 455
984,171 40
985,471 472
986,471 255
987,105 473
988,105 434
989,152 467
990,280 464
991,474 91
992,126 13
993,176 292
994,470 170
995,79 62
996,258 62
997,166 424
998,375 143
999,375 475
1000,375 356
1001,375 329
1002,375 66
1003,375 469
1004,375 108
1005,375 110
1006,375 375
1007,375 91
1008,375 476
1009,375 111
1010,375 474
1011,375 112
1012,375 328
1013,375 357
1014,375 477
1015,375 258
1016,375 478
1017,375 90
1018,381 177
1019,381 176
1020,381 344
1021,381 479
1022,381 320
1023,480 282
1024,91 375
1025,123 338
1026,52 232
1027,267 265
1028,320 381
1029,106 44
1030,106 190
1031,292 176
1032,164 388
1033,166 165
1034,86 106
1035,80 287
1036,481 55
1037,116 136
1038,454 189
1039,165 337
1040,165 361
1041,165 27
1042,165 30
1043,165 116
1044,165 133
1045,165 165
1046,165 336
1047,165 136
1048,165 135
1049,139 139
1050,482 340
1051,2 102
1052,106 42
1053,351 178
1054,249 115
1055,249 169
1056,329 66
1057,329 328
1058,169 249
1059,481 58
1060,483 377
1061,12 265
1062,58 366
1063,137 107
1064,291 291
1065,214 214
1066,481 211
1067,481 208
1068,283 82
1069,283 121
1070,316 1
1071,2 194
1072,172 275
1073,107 137
1074,62 152
1075,387 296
1076,387 295
1077,62 474
1078,62 258
1079,303 183
1080,380 380
1081,178 344
1082,434 105
1083,408 59
1084,172 93
1085,194 2
1086,167 280
1087,115 107
1088,62 314
1089,377 377
1090,150 393
1091,290 484
1092,100 429
1093,429 164
1094,194 192
1095,13 10
1096,429 140
1097,429 447
1098,429 448
1099,13 446
1100,13 35
1101,164 429
1102,340 114
1103,63 371
1104,63 363
1105,13 25
1106,44 407
1107,13 303
1108,13 95
1109,13 129
1110,340 340
1111,170 485
1112,400 260
1113,149 149
1114,309 215
1115,309 222
1116,296 393
1117,104 103
1118,3 3
1119,258 474
1120,184 418
1121,318 486
1122,314 62
1123,314 85
1124,487 488
1125,489 489
1126,20 230
1127,417 151
1128,145 121
1129,75 372
1130,105 82
1131,259 20
1132,448 40
1133,335 15
1134,63 4
1135,215 215
1136,329 143
1137,329 356
1138,329 108
1139,329 375
1140,329 357
1141,329 478
1142,329 90
1143,36 129
1144,187 142
1145,311 459
1146,47 443
1147,420 29
1148,19 161
1149,23 62
1150,155 285
1151,176 344
1152,95 201
1153,282 62
1154,249 62
1155,249 355
1156,218 74
1157,121 212
1158,81 107
1159,81 62
1160,128 86
1161,107 99
1162,212 121
1163,103 103
1164,311 215
1165,490 129
1166,490 365
1167,491 168
1168,491 167
1169,199 196
1170,199 51
1171,199 197
1172,199 199
1173,199 200
1174,199 128
1175,199 167
1176,199 203
1177,199 204
1178,199 206
