id,label,timeset
Wiley Post-Will Rogers Mem,Wiley Post-Will Rogers Mem,
Deadhorse,Deadhorse,
Ralph Wien Memorial,Ralph Wien Memorial,
Fairbanks Intl,Fairbanks Intl,
Nome,Nome,
St Mary's,St Mary's,
Aniak,Aniak,
Anchorage Intl,Anchorage Intl,
Tuluksak,Tuluksak,
Akiachak,Akiachak,
Akiak,Akiak,
Kwethluk,Kwethluk,
Bethel,Bethel,
Napaskiak,Napaskiak,
Napakiak,Napakiak,
Merle K (Mudhole) Smith,Merle K (Mudhole) Smith,
Tuntutuliak,Tuntutuliak,
Eek,Eek,
Kongiganak,Kongiganak,
Kwigillingok,Kwigillingok,
Quinhagak,Quinhagak,
Yakutat,Yakutat,
Dillingham,Dillingham,
King Salmon,King Salmon,
Gustavus,Gustavus,
Juneau Intl,Juneau Intl,
Kodiak,Kodiak,
St Paul Island,St Paul Island,
Sitka,Sitka,
Port Heiden,Port Heiden,
James A Johnson Petersburg,James A Johnson Petersburg,
Wrangell,Wrangell,
Ketchikan Intl,Ketchikan Intl,
Sand Point,Sand Point,
Cold Bay,Cold Bay,
Unalaska,Unalaska,
Eareckson As,Eareckson As,
Adak Naf,Adak Naf,
Bellingham Intl,Bellingham Intl,
Glacier Park Intl,Glacier Park Intl,
Minot Intl,Minot Intl,
William R Fairchild Intl,William R Fairchild Intl,
Grand Forks Afb,Grand Forks Afb,
Grand Forks Intl,Grand Forks Intl,
Spokane Intl,Spokane Intl,
Great Falls Intl,Great Falls Intl,
Seattle-Tacoma Intl,Seattle-Tacoma Intl,
Pangborn Memorial,Pangborn Memorial,
Grant County,Grant County,
Missoula Intll,Missoula Intll,
Hector Intll,Hector Intll,
Duluth Intl,Duluth Intl,
Bismarck Muni,Bismarck Muni,
Pullman/Moscow Regional,Pullman/Moscow Regional,
Helena Regional,Helena Regional,
Yakima Air Terminal,Yakima Air Terminal,
Marquette County,Marquette County,
Lewiston-Nez Perce County,Lewiston-Nez Perce County,
Tri-Cities,Tri-Cities,
Walla Walla Regional,Walla Walla Regional,
Bert Mooney,Bert Mooney,
Billings Logan Intl,Billings Logan Intl,
Gallatin Field,Gallatin Field,
Eastern Oregon Regional At Pen,Eastern Oregon Regional At Pen,
Portland Intl,Portland Intl,
Mcnary Fld,Mcnary Fld,
Minneapolis-St Paul Intl/Wold-,Minneapolis-St Paul Intl/Wold-,
Bangor Intl,Bangor Intl,
Central Wisconsin,Central Wisconsin,
Cherry Capital,Cherry Capital,
Austin Straubel Intll,Austin Straubel Intll,
Burlington Intl,Burlington Intl,
Outagamie County,Outagamie County,
Roberts Field,Roberts Field,
Mahlon Sweet Field,Mahlon Sweet Field,
Rapid City Regional,Rapid City Regional,
Wittman Regional,Wittman Regional,
Rochester Intll,Rochester Intll,
La Crosse Muni,La Crosse Muni,
Portland Intl Jetport,Portland Intl Jetport,
Jackson Hole,Jackson Hole,
Joe Foss Field,Joe Foss Field,
Boise Air Terminal /Gowen Fld/,Boise Air Terminal /Gowen Fld/,
Mbs Intll,Mbs Intll,
Fanning Field,Fanning Field,
Friedman Memorial,Friedman Memorial,
North Bend Muni,North Bend Muni,
Muskegon County,Muskegon County,
Oneida County,Oneida County,
Dane County Regional-Truax Fie,Dane County Regional-Truax Fie,
Greater Rochester Intl,Greater Rochester Intl,
Syracuse Hancock Intl,Syracuse Hancock Intl,
Bishop Intll,Bishop Intll,
General Mitchell Intll,General Mitchell Intll,
Greater Buffalo Intl,Greater Buffalo Intl,
Manchester,Manchester,
Pocatello Regional,Pocatello Regional,
Natrona County Intl,Natrona County Intl,
Kent County Intl,Kent County Intl,
Capital City,Capital City,
Albany County,Albany County,
Waterloo Muni,Waterloo Muni,
Tompkins County,Tompkins County,
Twin Falls-Sun Valley Regional,Twin Falls-Sun Valley Regional,
Detroit City,Detroit City,
Sioux Gateway,Sioux Gateway,
Dubuque Regional,Dubuque Regional,
Rogue Valley Intl- M,Rogue Valley Intl- M,
General Edward Lawrence Logan,General Edward Lawrence Logan,
Worcester Muni,Worcester Muni,
Kalamazoo/Battle Creek Interna,Kalamazoo/Battle Creek Interna,
Detroit Metropolitan Wayne Cou,Detroit Metropolitan Wayne Cou,
Binghamton Regional/Edwin A Li,Binghamton Regional/Edwin A Li,
Greater Rockford,Greater Rockford,
Elmira/Corning Regional,Elmira/Corning Regional,
Klamath Falls Intll,Klamath Falls Intll,
Erie Intl,Erie Intl,
Chicago O'hare Intl,Chicago O'hare Intl,
Bradley Intl,Bradley Intl,
Cedar Rapids Muni,Cedar Rapids Muni,
William B. Heilig Field,William B. Heilig Field,
Merrill C Meigs,Merrill C Meigs,
Chicago Midway,Chicago Midway,
Jack Mc Namara Field,Jack Mc Namara Field,
Theodore Francis Green State,Theodore Francis Green State,
Michiana Rgnl Transportation C,Michiana Rgnl Transportation C,
Toledo Express,Toledo Express,
Des Moines Intl,Des Moines Intl,
Stewart Int'l,Stewart Int'l,
Quad-City,Quad-City,
Cleveland-Hopkins Intl,Cleveland-Hopkins Intl,
Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton Intl,
Eppley Airfield,Eppley Airfield,
Tweed-New Haven,Tweed-New Haven,
Youngstown-Warren Regional,Youngstown-Warren Regional,
Westchester County,Westchester County,
Fort Wayne Intll,Fort Wayne Intll,
Arcata,Arcata,
Akron-Canton Regional,Akron-Canton Regional,
Lincoln Muni,Lincoln Muni,
University Park,University Park,
Elko Muni-J.C. Harris Field,Elko Muni-J.C. Harris Field,
