Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
Goldman Sachs Funds (BMX642),Goldman Sachs Japan Equity Partners Portfolio (BSW603),Goldman Sachs Asset Management Fund Services Limited,16/11/2022, ,No,BMX642,BSW603,
CMS Funds (AYF849),CMS Money Market Fund (BSX133),"CMS Asset Management (HK) Co., Limited",7/11/2022, ,No,AYF849,BSX133,
Eastspring Investments (APD368),Eastspring Investments - Global Low Volatility Equity Fund (BSX598),Eastspring Investments (Luxembourg) S.A.,1/11/2022,Offering Documents,No,APD368,BSX598,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX598&docType=OD
BOCHK Wealth Creation Series (AYX421),BOCHK All Weather HKD Money Market Fund (BSV019),BOCHK Asset Management Limited,27/10/2022, ,No,AYX421,BSV019,
BlackRock Global Funds (AAR239),China Innovation Fund (BSX533),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX533&docType=OD
BlackRock Global Funds (AAR239),China Onshore Bond Fund (BSY415),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY415,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY415&docType=OD
BlackRock Global Funds (AAR239),Next Generation Health Care Fund (BSX534),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX534,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX534&docType=OD
BlackRock Global Funds (AAR239),Sustainable Global Infrastructure Fund (BSY416),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY416,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY416&docType=OD
PIMCO Funds: Hong Kong OFC (BSQ813),,PIMCO Asia Limited,26/10/2022, ,,BSQ813,,
PIMCO Funds: Hong Kong OFC (BSQ813),PIMCO Asia Bond Fund (BSQ814),PIMCO Asia Limited,26/10/2022, ,No,BSQ813,BSQ814,
PIMCO Funds: Hong Kong OFC (BSQ813),PIMCO Income Fund (BSQ815),PIMCO Asia Limited,26/10/2022, ,No,BSQ813,BSQ815,
UBS (Lux) Strategy SICAV (BSW919),,UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,,BSW919,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
UBS (Lux) Strategy SICAV (BSW919),UBS (Lux) Strategy SICAV - Income Sustainable (USD) (BSW920),UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,No,BSW919,BSW920,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSW920&docType=OD
ChinaAMC Select Fund (AVL899),ChinaAMC Select Flexible Cycle Income Fund (BSX517),China Asset Management (Hong Kong) Limited,17/10/2022,Offering Documents,No,AVL899,BSX517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX517&docType=OD
BOC-Prudential Unit Trust Fund (AFH774),BOC-Prudential Hong Kong Stable Retirement Fund (BSM054),BOCI-Prudential Asset Management Limited,29/9/2022,Offering Documents,No,AFH774,BSM054,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSM054&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Asia ESG Bond (BSM001),HSBC Investment Funds (Luxembourg) S.A.,26/9/2022, ,No,AAU032,BSM001,
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Global Infrastructure Equity (BSR905),HSBC Investment Funds (Luxembourg) S.A.,23/9/2022, ,No,AAU032,BSR905,
DCI Investment Trust (AWD544),Da Cheng RMB Money Market Fund (BSR079),Da Cheng International Asset Management Company Limited,22/9/2022, ,No,AWD544,BSR079,
Celsius Investment Funds SICAV (BSH884),,FundRock Management Company S.A.,21/9/2022,Offering Documents,,BSH884,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Celsius Investment Funds SICAV (BSH884),Shiller US Sector Index Fund (BSH885),FundRock Management Company S.A.,21/9/2022,Offering Documents,No,BSH884,BSH885,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH885&docType=OD
Eastspring Investments (APD368),Eastspring Investments - Asian Total Return Bond Fund (BSU222),Eastspring Investments (Luxembourg) S.A.,20/9/2022,Offering Documents,No,APD368,BSU222,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSU222&docType=OD
Schroder International Selection Fund (AEU509),Global Sustainable Food and Water (BSS918),Schroder Investment Management (Europe) S.A.,9/9/2022,Offering Documents,No,AEU509,BSS918,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSS918&docType=OD
Amundi Asia Funds (BSG577),,Amundi Luxembourg S.A.,7/9/2022, ,,BSG577,,
Amundi Asia Funds (BSG577),CIO Barbell Income Fund (BSG578),Amundi Luxembourg S.A.,7/9/2022, ,No,BSG577,BSG578,
Capital International Fund (BGX053),Capital Group American Balanced Fund (LUX) (BSR977),Capital International Management Company,25/8/2022,Offering Documents,No,BGX053,BSR977,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR977&docType=OD
Invesco Funds (AAV714),Invesco China A-Share Quality Core Equity Fund (BSR229),INVESCO Management S.A.,24/8/2022,Offering Documents,No,AAV714,BSR229,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR229&docType=OD
Invesco Funds (AAV714),Invesco Sustainable China Bond Fund (BSR228),INVESCO Management S.A.,24/8/2022,Offering Documents,No,AAV714,BSR228,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR228&docType=OD
HuaAn Investment Fund OFC (BSJ880),,HuaAn Asset Management (Hong Kong) Limited,22/8/2022,Offering Documents,,BSJ880,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
